TID,KR,EN,CN,JP,PLD,TW,IND
childrensDayEventUI_2_7,일일 로그인,Daily\nlogin,,,,,
childrensDayEventUI_2_8,탐험(전투),Adventure,,,,,
childrensDayEventUI_2_9,콜로세움 1:1,Colo. 1:1,,,,,
childrensDayEventUI_2_10,마스터리그,Master League,,,,,
childrensDayEventUI_2_11,<yellow>%d</yellow>/%s,<yellow>%d</yellow>/%s,,,,,
childrensDayEventUI_2_12,%d<lightblue>+%d</lightblue>,%d<lightblue>+%d</lightblue>,,,,,
childrensDayEventUI_2_13,"5,500","5,500",,,,,
childrensDayEventUI_2_14,"12,000","12,000",,,,,
childrensDayEventUI_2_15,"55,000","55,000",,,,,
childrensDayEventUI_2_16,"110,000","110,000",,,,,
childrensDayEventUI_2_17,5.49,5.49,,,,,
childrensDayEventUI_2_18,10.99,10.99,,,,,
childrensDayEventUI_2_19,54.99,54.99,,,,,
childrensDayEventUI_2_20,109.99,109.99,,,,,
childrensDayEventUI_2_21,선물 상자,Gift box,,,,,
childrensDayEventUI_2_22,고급 선물 상자,High quality gift box,,,,,
childrensDayEventUI_2_23,최고급 선물 상자,Best quality gift box,,,,,
childrensDayEventUI_2_24,계속 열기,Continue,,,,,
childrensDayEventUI_2_25,획득 가능:,What you can get:,,,,,
childrensDayEventUI_2_26,"고급 선물상자, 다이아, 골드, 황금 다이아, 일반 장식 뽑기권,\n일반~레어 장식 뽑기권, 에너지 드링크, 축복 부화기, 의문의 알,\n속성 카드팩, 티켓, Lv+1, 5단계 드링크, 하급 꿈의 정수, 중급 꿈의 정수,\n꿈의 부스러기, 악몽, 여명, 황혼의 정기, 페르시온 부스러기, 페르시온 조각","High quality gift box, Diamond, Gold, Golden Diamond, Skin raffle(N),\nSkin raffle(N~R), Energy Drink, Blessed Incubator, Random Egg,\nElements Card Pack, Ticket, Lv+1, Drink 5s, Low Dream Elixir,\nNormal Dream Elixir, Dreams Debris, Dawn Element, Dusk Element,\nNightmares Element, Persion Debris, Persion Piece",,,,,
childrensDayEventUI_2_27,"최고급 선물 상자, 그랑 세이버 (C~B), 푸딩곤 (C~A), 페르마타 (C~A),\n스페셜 드래곤, Lv-1, 프리미엄 Lv+1, 캡슐 Lv+1, 각성 Lv+1, 스페셜 Lv+1,\n꿈의 부화기+1, 꿈의 부화기, 강철의 망치, 마법의 망치, 랜덤 레어 장식,\n레어 장식 뽑기권, 레어~전설 장식 뽑기권, 발톱 및 깃털 (13~14),\n아르하의 뿔 (10~14), 꿈의 젬 (30~31), 6단계 드링크, 빛의 인장,\n꿈의 정수, 중급 강화의 정수, 초월의 정수, 꿈의 보석, 꿈의 조각","Best quality gift box, Grand savior (C~B), Puddinggon (C~A),\nPerumata C~A, Specail dragon, Lv-1, Prem Lv+1, Capsule Lv+1,\nAwaken Lv+1, Special Lv+1, Dream Incubator, Hammer of steel,\nHammer of magic, Random Rare skin, Skin raffle (R), Skin raffle (R~L),\nClaw & Feather (13~14), Horn of Archa (10~14), Dream's gem (30~31),\nDrink 6s, Light crest, Dream Elixir, Normal Elixir, High Essence, Jewel of Deam, Dream Piece",,,,,
childrensDayEventUI_2_28,"그랑 세이버 (A~SS), 푸딩곤 (S~SS), 페르마타 (S~SS),\n킨더 드래곤, 마룡, 디트의 망치, 상급 ~ 최상급 강화의 정수,\n상급 초월의 정수, 꿈의 젬 (32~36), 황금 다이아, 다이아,\n랜덤 전설 장식, 전설 장식 뽑기권, 10+1 뽑기권","Grand savior (A~SS), Puddinggon (S~SS), Perumata (S~SS),\nKinder dragon, Evil Dragon, Hammer of Deet, High~Master Elixir,\nDream's gem (32~36), Golden Diamond, Diamond, Random Legendary skin,\nSkin raffle (L), Skin raffle 10+1",,,,,
childrensDayEventUI_2_29,1,1,,,,,
childrensDayEventUI_2_30,2,2,,,,,
childrensDayEventUI_2_31,3,3,,,,,
childrensDayEventUI_2_32,~5,~5,,,,,
childrensDayEventUI_2_33,~10,~10,,,,,
childrensDayEventUI_2_34,~20,~20,,,,,
childrensDayEventUI_2_35,~50,~50,,,,,
childrensDayEventUI_2_36,~100,~100,,,,,
childrensDayEventUI_2_37,"다이아2000 + 7.0드래곤 선택권(단계, 레벨 선택) + 포인트 충전 10000",2000 Diamonds + 7.0dragon ticket(Phase choice) + Point 10000,,,,,
childrensDayEventUI_2_38,다이아1800 + 20레벨 7.0 드래곤 선택권 + 포인트 충전 6000,"1800 Diamonds + Lv 20, 7.0 dragon ticket + Point 6000",,,,,
childrensDayEventUI_2_39,다이아1500 + 1레벨 7.0 드래곤 선택권 + 포인트 충전 4000,"1500 Diamonds + Lv 1, 7.0 dragon ticket + Point 4000",,,,,
childrensDayEventUI_2_40,다이아1000 + 드래곤 선택권 + 포인트 충전 2000,1000 Diamonds + dragon ticket + Point 2000,,,,,
childrensDayEventUI_2_41,다이아800 + 각성강화정수 1세트  + 포인트 충전 2000,"800 Diamonds + Elixir set(Normal, Higher, Master) + Point 2000",,,,,
childrensDayEventUI_2_42,다이아500 + 상급초월의정수 1세트,500 Diamonds + 1 set of high essence,,,,,
childrensDayEventUI_2_43,"다이아300 + 스페셜 레벨업x20, 레벨다운x20","300 Diamonds + Special Lv + 1 x 20, Lv - 1 x 20",,,,,
childrensDayEventUI_2_44,다이아100 + 레벨다운x20,100 Diamonds + Lv - 1 x 20,,,,,
childrensDayEventUI_2_45,<yellow>%s</yellow>에서 아이템을 획득했습니다!,You earned item from <yellow>%s</yellow>!,,,,,
childrensDayEventUI_2_46,포인트로 선물상자 %d개를 구입했습니다.,You bought %d box with your points.,,,,,
childrensDayEventUI_2_47,지금은 선물상자를 판매하지 않습니다.,Gift box is not available right now.,,,,,
childrensDayEventUI_3_1,빛의 축제 출석 이벤트,Festival of Light Check-in event,,,,,
childrensDayEventUI_3_2,%d일차,Day %d,,,,,
childrensDayEventUI_4_1,다이아 & 경험치 2배! + 1.2.3 이벤트,2x diamond & Exp! + 1.2.3 event,,,,,
childrensDayEventUI_4_2,5월 1.2.3 이벤트,May 1.2.3 event,,,,,
childrensDayEventUI_4_3,경험치&다이아 2배,2x Exp&diamonds,,,,,
childrensDayEventUI_4_4,육성 패키지,Raising package,,,,,
childrensDayEvent_Statue_Info,'제 %d회 빛의 축제 콜로세움 대전'에서 \n 뛰어난 활약을 보인 테이머들 입니다,The champions of\nFesival of Lights Colosseum,,,,,
//,,,,,,,
diceRoll,굴리기,Rolling,,,,,
diceReRoll,다시 굴리기,Rolling again,,,,,
diceEnchant,강화하기,Enchant,,,,,
turnContinue,%d턴 동안 지속,It lasts %d turns,,,,,
luckyUpComment,주사위를 강화 할 수록 행운 확률이 상승합니다.,The luck of the dice to enhance \nthe probability rises.,,,,,
diceEnchantMaterial,강화 재료,Enchant Materials,,,,,
fixBuffComment1,모든 드래곤의 HP가 팀 리더의 HP만큼 더해진다.,HP's all added as the Dragon's HP is the team leader.,,,,,
fixBuffComment2,모든 드래곤의 ATT가 팀 리더의 ATT만큼 더해진다.,ATT's all added as the Dragon's ATT is the team leader.,,,,,
fixBuffComment3,모든 드래곤의 DEF가 팀 리더의 DEF만큼 더해진다.,DEF's all added as the Dragon's DEF is the team leader.,,,,,
fixBuffComment4,모든 드래곤의 공격에 팀 리더의 속성이 추가된다.,The additional properties of a team leader to attacks of all dragons.,,,,,
normalBuffComment1,체력%s%%증가,HP%s%% Increase,,,,,
normalBuffComment2,공격력%s%%증가,ATT%s%% Increase,,,,,
normalBuffComment3,방어력%s%%증가,DEF%s%% Increase,,,,,
originName,원작자,Authorship,,,,,
caveCondition,잠금 해제 조건 : 도감 점수%d점 이상,Unlock Condition : Book Point more than %d.,,,,,
caveUnlockSkin_Youtuber,잠금 해제 조건: 공식 유투버가 되어주세요!,Unlock Condition : Be an official Youtube streamer!,,,,,
caveUnlockSkin_6attendance,잠금 해제 조건: 6주년 출석 달성자,Unlock Condition : 6th Anniversary attendance winner,,,,,
caveUnlockSkin_7attendance,잠금 해제 조건: 7주년 출석 달성자,Unlock Condition : 7th Anniversary attendance winner,,,,,
caveSkinBuyConfirm,%s을 구매하였습니다.,It bought the% s.,,,,,
caveSkinBuyComment1,다이아%d개로 구매하시겠습니까?,Diamond %d. Continue with purchase?,,,,,
caveSkinBuyComment2,황금 다이아%d개로 구매하시겠습니까?,Use %d Golden Diamond. Continue with purchase?,,,,,
goldDiaShortage,황금 다이아가 부족합니다.,Not enough Golden Diamond.,,,,,
cashChargeComment,충전소 이용시 1다이아에 30P를 획득할수 있습니다.\n방랑상인에게서 500P를 1황금다이아로 교환가능합니다.,You get additional 30 Ad points per 1 diamond purchased.\nAd Points can be used at the Wandering Mechant.,,,,,
cashChargeMenu1,다이아 구매,Buying Diamonds,,,,,
cashChargeMenu2,무료충전소,Free Cash,,,,,
cashChargeMenu3,하이브로 충전소,Highbrow Free Cash,,,,,
dreamAreaGardenOfDreams,꿈의 마당,Garden Of Dreams,,,,,
dreamAreaVestigeOfDreams,꿈의 잔재,Vestige Of Dreams,,,,,
dreamAreaTopOfDreams,몽환의탑,Top Of Dreams,,,,,
likeAbility,호감도,likeability,,,,,
reve_quest_complete_msg,퀘스트를 완료하시겠습니까?\n퀘스트를 완료하면 재료들이 사라집니다.,"Complete quest? \n When quest is completed, materials will be removed.",,,,,
reveQuestScript1,난 보석을 좋아해. 그것들은 특별한 힘을 간직하고 있거든.,I like gems. They hold special powers.,,,,,
reveQuestScript2,명계의 돌맹이들이지~ 음~ 맛있겠군. 근데 너희는 이게 무언지 알고 가지고 다니는거야?,"Stones from Soul Realm~ Mmmm~ Look tasty. By the way, do you even know what these are?",,,,,
reveQuestScript3,이렇게 귀한 것도 가져다 줄 수 있나?,Can you bring special stuff like this?,,,,,
reveQuestScript4,저 동네 악령들이 자꾸 다른 지역으로 넘어오려 그런단 말이지.,Evil spirits from that town continue to come over.,,,,,
reveQuestScript5,꿈의 세계에도 균형이 필요해. 그리고 내가 바로 그 균형을 담당하고 있는 레브라고 하지.,Dream Realm needs balance as well. I am Lev. I’m in charge of the balance.,,,,,
reveQuestScript6,자꾸 나만 보지 말고 여기저기 구경도 좀 하고 오고 그래. ,Stop staring at me and go take a look around.,,,,,
reveQuestScript7,퀘스트 4개를 모두 클리어하면 새로운 퀘스트를 또 줄게.,"When you clear all 4 quests, I will give you another.",,,,,
reveMsg1,제작,Produce,,,,,
reveMsg2,재료,Material,,,,,
reveMsg4,초월 강화,Transcendence\nUpgrade,,,,,
reveMsg5,각성 강화,Awakening\nUpgrade,,,,,
reveMsg6,퀘스트,Quest,,,,,
reveMsg7,뽑기,Lottery,,,,,
reveMsg8,호감도,Affection level,,,,,
reveMsg9,초월 하기,Transcend,,,,,
reveMsg10,초월 한계 스탯,Transcendence Limit Status,,,,,
reveMsg11,한계 능력,Limit Ability,,,,,
reveMsg12,스탯 미리보기,Status Preview,,,,,
reveMsg13,%0.1f등급 / %s,%0.1f Class / %s,,,,,
reveMsg14,무료 뽑기,Free Lottery,,,,,
reveMsg15,드래곤 초월,Dragon Transcendence,,,,,
reveMsg16,강화,Upgrade,,,,,
reveMsg17,드래곤 초월강화,Dragon Transcendence Upgrade,,,,,
reveMsg18,아이템이 부족합니다.,Not enough Item.,,,,,
reveMsg19,다이아 1개를 사용하여 아이템을 제작하시겠습니까?,Do you want produce Item with 1 Diamond?,,,,,
reveMsg20,어서와~ 꿈의 세계는 처음이지?,Welcome. First time at Dream Realm?,,,,,
reveMsg21,드래곤들이 귀욤귀욤하넹~,Dragons are so cuteeeee!,,,,,
reveMsg22,우리 조금 더 친해져보는게 어때? 내가 주는 퀘스트 좀 해주면 잘 해줄게.,Why don’t we get better acquainted? I’ll be nice to you if you take care of a quest I give you.,,,,,
reveMsg23,꿈의 세계의 장점이 뭔지 알아? 원하는 것은 다 얻을 수 있다는 것!,You know what’s great about Dream Realm? You can get everything you want!,,,,,
reveMsg24,초월 가능한 드래곤이 없습니다.,There is no Dragon available to Transcend,,,,,
reveMsg25,초월은 드래곤 레벨 20만 가능합니다.,Only Dragon over level 20 can Transcend,,,,,
reveMsg26,드래곤을 초월하시겠습니까?,Transcend Dragon?,,,,,
reveMsg27,초월에 성공하였습니다.,Transcendence successful.,,,,,
reveMsg28,초월의 정수로 드래곤의 한계치를 끌어냅니다.,Using Transcendence Essence to bring out maximum capacity from Dragon.,,,,,
reveMsg29,초월강화 가능한 드래곤이 없습니다.,There is no Dragon available for Transcendence Upgrade.,,,,,
reveMsg30,아이템을 선택해주세요.,Select Item.,,,,,
reveMsg31,드래곤을 초월강화 하시겠습니까?,Transcendence Reinforce Dragon?,,,,,
reveMsg32,해당 수치가 이미 MAX입니다.,The status is already MAX.,,,,,
reveMsg33,강화에 성공하였습니다.,Upgrade successful.,,,,,
reveMsg34,강화의 정수로 각성드래곤을 강화시킵니다.,Using Upgrade Essence to Reinforce Awakened Dragon.,,,,,
reveMsg35,각성 강화 가능한 드래곤이 없습니다.,There is no Dragon available for Awakening Upgrade.,,,,,
reveMsg36,각성 드래곤 강화가 완료 되었습니다.,Awakened Dragon upgrade complete.,,,,,
reveMsg37,각성 드래곤을 강화 하시겠습니까?,Reinforce Awakened Dragon?,,,,,
reveMsg39,다이아와 친밀도를 이용하여 뽑기를 할 수 있습니다.,You can use Diamod and Affection to trade for Lottery.,,,,,
reveMsg40,호감도 %d을 더 모으면 무료로 뽑을 수 있습니다.,Collect %d more Affection for Free Lottery.,,,,,
reveMsg41,호감도가 부족합니다.,Not enough Affection.,,,,,
reveMsg42,다이아 %d개를 사용하여 아이템을 뽑으시겠습니까?,Use %d Diamond to draw an Item?,,,,,
reveMsg43,아이템을 얻었습니다.,Item obtained.,,,,,
reveMsg44,모든 퀘스트는 매일 00시에 초기화됩니다.,All Quests are reset everyday at Midnight.,,,,,
reveMsg45,호감도 50이상 이용가능합니다.,Can only be used with Affection over 50.,,,,,
reveMsg46,강화 완료,Upgrade Complete,,,,,
reveMsg47,제작,Produce,,,,,
reveMsg48,재료가 부족합니다.\n필요 재료를 확인하고 다시 시도해주세요,Not enough Material. \n Check required material and try again.,,,,,
reveMsg49,AREA,AREA,,,,,
reveMsg50,현재 지역을 탐험할 수 없습니다.,This area is inaccessible.,,,,,
reveMsg51,%d단계는 레벨 %d이상 부터 가능합니다.,No.%d upgrade available at Lv.%d,,,,,
reveMsg54,초월의 정수 얼만큼 사용하시겠습니까?,How many essense would you like to use?,,,,,
dreamFightLoseMsg,상대가 너무 강해서 이길 수 없었습니다.\n드래곤들을 더욱 강화한 뒤에 도전하는건 어떨까요?,Enemy was too strong. \n How about strengthen your dragons first and challenge again?,,,,,
reveTip1,이클리프의 주사위 때문에 드래곤들이 꿈의세계에서도 힘을 발휘할 수 있지,Dragons can use their powers at Dream Realm because of Ecliff’s Dice.,,,,,
reveTip2,이클리프의 주사위 행운은 모든 보상에 영향을 주지.,Luck from Ecliff’s Dice affects every reward.,,,,,
reveTip3,행운이 높이 나온다면 꿀이득!,Getting high Luck would be awesome!,,,,,
cannotUseTranscended,초월한 용은 사용할 수 없습니다.,Transcendent Dragon may not use it.,,,,,
cannotUseJin,진각성 용은 사용할 수 없습니다.,Jin-awakening Dragon may not use it.,,,,,
cannotUseAdvent,강림한 용은 사용할 수 없습니다.,Advent Dragon may not use it.,,,,,
reveEclipseArea1,[유타칸 : 상점],[Utahkhan : Shop],,,,,
reveEclipseArea2,[꿈의 세계 : 탐험],[Realm of Dream : Explore],,,,,
reveEclipseArea3,[하늘왕국 : 왕궁방어전],[Sky Kingdom : Palance Defense],,,,,
reveEclipseArea4,[점술집 : 아이템 강화],[Fortuneteller : Reinforce Item],,,,,
reveEclipseMsg1,%s 에서 획득 가능합니다.,You may obtain at %s,,,,,
battleFieldBattleListTab,대전목록,MATCH,,,,,
rewardListTab,보상목록,REWARDS,,,,,
defensiveListTab,방어기록,DEFENSE,,,,,
mission,미션,MISSION,,,,,
dragon_type_0,성체 드래곤,Adult Dragon,,,,,
dragon_type_1,캡슐 드래곤,Capsule Dragon,,,,,
dragon_type_2,각성 드래곤,Awakened Dragon,,,,,
dragon_type_3,초월 드래곤,Transcended Dragon,,,,,
battleFieldPointExplain,<yellow>점수배점</yellow>\n전투\n1회만에 승리시 500점 +남은 체력1%당 10점씩추가\n2회만에 승리시 400점\n3회+승리시 300점\n\n방어\n1회 방어 성공 +50점\n2회 방어 성공 + 100점\n1회 방어 실패 -100점\n\n복수 성공시 +100점,<yellow>How to score high </yellow> \n Battle \n Win on first trial +500pts + 10pts for every 1% HP remaining \n2 Win on 2nd Trial +400pts \n Win on 3rd or more trials +300pts \n\n Defense \n First defensive success +50pts \n 2nd defence success +100pts \n Defence failed on 1st trial -100pts \n\n Revenge success +100pts,,,,,
buffConbinationName1,잔잔한 호수,Calm lake,,,,,
buffConbinationName2,태초의 불,Primal Fire,,,,,
buffConbinationName3,대지의 축복,Blessing of the Land,,,,,
buffConbinationName4,회오리 바람,Tornado,,,,,
buffConbinationName5,광명의 빛,Light of light.,,,,,
buffConbinationName6,칠흑의 밤,Ebon Night,,,,,
buffConbinationName7,황혼의 수호자,Twilight Guardians,,,,,
buffConbinationName8,여명의 눈,Dawn's eyes,,,,,
buffConbinationName9,악몽의 유산,The legacy of Nightmares,,,,,
buffConbinationName10,정령의 축복,Blessing of the Spirits,,,,,
buffConbinationName11,태초의 힘,The power of the beginning,,,,,
buffConbinationName12,희망의 빛,Light of Hope,,,,,
buffConbinationName13,절망의 어둠,The darkness of despair,,,,,
buffConbinationName14,사생결단,Bloody Tie,,,,,
buffConbinationName15,늪지대,Wilds,,,,,
buffConbinationName16,태풍의 눈,Eye of the storm,,,,,
buffConbinationName17,불타는 대지,Burning Land,,,,,
buffConbinationName18,인페르노,Inferno,,,,,
buffConbinationName19,황량한 땅,Desolate land,,,,,
buffConbinationName20,내면의 공포,The inner horror,,,,,
buffConbinationName21,끝과 시작,Start and end,,,,,
buffConbinationName22,황혼에서 새벽까지,From dusk till dawn,,,,,
buffConbinationCondition1,조건:물4,Conditions: Water 4,,,,,
buffConbinationCondition2,조건:불4,Condition: Fire 4,,,,,
